"rule","engine","severity","tags","file","startLine","startColumn","endLine","endColumn","message","resources"
"@lwc/lwc/valid-api","eslint",3,"Recommended,LWC,ErrorProne,JavaScript","force-app/main/default/lwc/caseHierarchyViewer/caseHierarchyViewer.js",22,32,22,36,"Invalid public property initialization for ""showFinancialAccounts"". Boolean public properties should not be initialized to ""true"", consider initializing the property to ""false"".","https://github.com/salesforce/eslint-plugin-lwc/blob/v3.2.0/docs/rules/valid-api.md"
"@lwc/lwc/valid-api","eslint",3,"Recommended,LWC,ErrorProne,JavaScript","force-app/main/default/lwc/caseHierarchyViewer/caseHierarchyViewer.js",23,27,23,31,"Invalid public property initialization for ""showAccountRoles"". Boolean public properties should not be initialized to ""true"", consider initializing the property to ""false"".","https://github.com/salesforce/eslint-plugin-lwc/blob/v3.2.0/docs/rules/valid-api.md"
"@lwc/lwc/valid-api","eslint",3,"Recommended,LWC,ErrorProne,JavaScript","force-app/main/default/lwc/caseHierarchyViewer/caseHierarchyViewer.js",27,27,27,31,"Invalid public property initialization for ""expandFirstChild"". Boolean public properties should not be initialized to ""true"", consider initializing the property to ""false"".","https://github.com/salesforce/eslint-plugin-lwc/blob/v3.2.0/docs/rules/valid-api.md"
"no-unused-vars","eslint",2,"Recommended,ErrorProne,JavaScript","force-app/main/default/lwc/recordPathwaySelection/__tests__/recordPathwaySelection.test.js",14,27,14,45,"'actualUpdateRecord' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars"
"@lwc/lwc/no-async-operation","eslint",3,"Recommended,LWC,BestPractices,JavaScript","force-app/main/default/lwc/recordPathwaySelection/__tests__/recordPathwaySelection.test.js",37,37,37,59,"Restricted async operation ""setTimeout""","https://github.com/salesforce/eslint-plugin-lwc/blob/v3.2.0/docs/rules/no-async-operation.md"
"@lwc/lwc/no-unexpected-wire-adapter-usages","eslint",3,"Recommended,LWC,BestPractices,JavaScript","force-app/main/default/lwc/recordPathwaySelection/__tests__/recordPathwaySelection.test.js",71,5,71,14,"""getRecord"" is a wire adapter and can only be used via the @wire decorator.","https://github.com/salesforce/eslint-plugin-lwc/blob/v3.2.0/docs/rules/no-unexpected-wire-adapter-usages.md"
"@lwc/lwc/no-unexpected-wire-adapter-usages","eslint",3,"Recommended,LWC,BestPractices,JavaScript","force-app/main/default/lwc/recordPathwaySelection/__tests__/recordPathwaySelection.test.js",108,5,108,14,"""getRecord"" is a wire adapter and can only be used via the @wire decorator.","https://github.com/salesforce/eslint-plugin-lwc/blob/v3.2.0/docs/rules/no-unexpected-wire-adapter-usages.md"
"@lwc/lwc/no-unexpected-wire-adapter-usages","eslint",3,"Recommended,LWC,BestPractices,JavaScript","force-app/main/default/lwc/recordPathwaySelection/__tests__/recordPathwaySelection.test.js",144,5,144,14,"""getRecord"" is a wire adapter and can only be used via the @wire decorator.","https://github.com/salesforce/eslint-plugin-lwc/blob/v3.2.0/docs/rules/no-unexpected-wire-adapter-usages.md"
"@lwc/lwc/no-unexpected-wire-adapter-usages","eslint",3,"Recommended,LWC,BestPractices,JavaScript","force-app/main/default/lwc/recordPathwaySelection/__tests__/recordPathwaySelection.test.js",179,5,179,14,"""getRecord"" is a wire adapter and can only be used via the @wire decorator.","https://github.com/salesforce/eslint-plugin-lwc/blob/v3.2.0/docs/rules/no-unexpected-wire-adapter-usages.md"
"@lwc/lwc/no-unexpected-wire-adapter-usages","eslint",3,"Recommended,LWC,BestPractices,JavaScript","force-app/main/default/lwc/recordPathwaySelection/__tests__/recordPathwaySelection.test.js",219,5,219,14,"""getRecord"" is a wire adapter and can only be used via the @wire decorator.","https://github.com/salesforce/eslint-plugin-lwc/blob/v3.2.0/docs/rules/no-unexpected-wire-adapter-usages.md"
"@lwc/lwc/no-async-operation","eslint",3,"Recommended,LWC,BestPractices,JavaScript","force-app/main/default/lwc/recordPathwaySelection/recordPathwaySelection.js",82,7,84,15,"Restricted async operation ""setTimeout""","https://github.com/salesforce/eslint-plugin-lwc/blob/v3.2.0/docs/rules/no-async-operation.md"
"prefer-const","eslint",3,"Recommended,BestPractices,JavaScript,TypeScript","force-app/main/default/lwc/successionContactCadence/successionContactCadence.js",208,9,208,18,"'baseClass' is never reassigned. Use 'const' instead.","https://eslint.org/docs/latest/rules/prefer-const"
"@lwc/lwc-platform/no-inline-disable","eslint",3,"Recommended,LWC,BestPractices,JavaScript","force-app/main/default/lwc/successionContactCadence/successionContactCadence.js",489,1,489,62,"Inline rule disablement not allowed: @lwc/lwc/no-async-operation",
"@lwc/lwc/no-api-reassignments","eslint",3,"Recommended,LWC,BestPractices,JavaScript","force-app/main/default/lwc/successionDisclaimDetails/successionDisclaimDetails.js",13,5,13,37,"Invalid reassignment of public property ""reason""","https://github.com/salesforce/eslint-plugin-lwc/blob/v3.2.0/docs/rules/no-api-reassignments.md"
"@lwc/lwc/no-api-reassignments","eslint",3,"Recommended,LWC,BestPractices,JavaScript","force-app/main/default/lwc/successionDisclaimDetails/successionDisclaimDetails.js",18,5,18,49,"Invalid reassignment of public property ""legalAttestation""","https://github.com/salesforce/eslint-plugin-lwc/blob/v3.2.0/docs/rules/no-api-reassignments.md"
"@lwc/lwc/no-api-reassignments","eslint",3,"Recommended,LWC,BestPractices,JavaScript","force-app/main/default/lwc/successionNewDafDetails/successionNewDafDetails.js",13,5,13,36,"Invalid reassignment of public property ""email""","https://github.com/salesforce/eslint-plugin-lwc/blob/v3.2.0/docs/rules/no-api-reassignments.md"
"@lwc/lwc/no-api-reassignments","eslint",3,"Recommended,LWC,BestPractices,JavaScript","force-app/main/default/lwc/successionNewDafDetails/successionNewDafDetails.js",18,5,18,50,"Invalid reassignment of public property ""termsAcknowledged""","https://github.com/salesforce/eslint-plugin-lwc/blob/v3.2.0/docs/rules/no-api-reassignments.md"
